"CodeCanton";"Inscrits";"Votants";"Exprimés";"PC";"EXG";"SOC";"RDG";"DVG";"UDF";"RPR";"DVD";"FN";"ECO";"CodeDpt"
"7917";4143;3092;2897;113;0;468;0;0;2316;0;0;0;0;"79"
"7918";8402;5820;5184;342;0;0;0;0;0;0;4842;0;0;"79"
"7919";4148;2804;2680;159;169;402;0;0;1824;0;0;126;0;"79"
"7921";16205;9565;9191;774;294;3104;0;0;2453;1772;236;558;0;"79"
"7923";7158;4672;4493;398;0;1112;0;385;2598;0;0;0;0;"79"
"7926";5556;3610;3434;167;0;1080;0;0;1886;0;0;301;0;"79"
"7927";4163;3341;3269;80;0;0;0;1153;0;0;1945;91;0;"79"
"7928";5020;3661;3535;271;0;1948;0;0;1071;0;0;245;0;"79"
"7930";3506;2673;2570;59;0;0;0;543;1874;0;0;94;0;"79"
"7931";8471;5622;5421;212;0;1835;0;0;0;0;3162;212;0;"79"
"7933";13193;7579;7343;535;0;3474;0;0;0;2788;0;546;0;"79"
"8001";11443;8224;7815;1224;0;1331;0;0;4659;0;0;601;0;"80"
"8003";4640;3754;3583;239;0;700;0;0;2139;0;0;505;0;"80"
"8004";5024;4111;3963;502;0;812;0;0;2338;0;0;311;0;"80"
"8006";12944;9727;9325;2294;463;890;0;0;5059;0;0;619;0;"80"
